id,type,lat,lon,name,address,phone,state,country,category,,
1991155562,node,10.7688441,76.6499374,Wheels,"Wheels, Manjakulam Road, Manjakulam, Palakkad - 678001, Kerala, India",85473 34105,Tamil Nadu,IN,towshop,,
2299419677,node,9.7091681,76.6745576,Pala Tyres,"Pala Tyres, Ettumanoor - Erattupetta - Poonjar Road, Kottaramattom, Pala - 686575, Kerala, India",94478 68589,Tamil Nadu,IN,towshop,,
2481122142,node,13.0301366,77.5712239,Select Bridgestone Tyre Service,"Select Bridgestone Tyre Service, 5th Main Road, Geddalahalli, Bengaluru - 560094, Karnataka, India",+91 80 3751 3832,Tamil Nadu,IN,towshop,,
2686093260,node,12.8940622,77.5817993,Indian Tyre Center,"Indian Tyre Center, Puttenahalli Main Road, Puttenahalli, Bengaluru - 560078, Karnataka, India",98455 54298,Tamil Nadu,IN,towshop,,
2686093261,node,12.8934343,77.586476,Iyengars Tyre care,"Iyengars Tyre care, 24th Main Road, Puttenahalli, Bengaluru - 560078, Karnataka, India",99453 78168,Tamil Nadu,IN,towshop,,
2834985801,node,8.1244247,80.5674288,Unknown,"Maradankadawala-Habarana Road, Maradankadawala 50080, Sri Lanka",,Tamil Nadu,IN,towshop,,
2954417233,node,12.8856427,77.5821812,Unknown,"2nd Cross Road, RBI Layout, Bengaluru - 560078, Karnataka, India",,Tamil Nadu,IN,towshop,,
3019860776,node,12.8901855,77.5980802,Mahalakshmi Tyres,"Mahalakshmi Tyres, Bannerghatta Road, Arakere, Bengaluru - 560076, Karnataka, India",,Tamil Nadu,IN,towshop,,
3268362452,node,8.7335569,76.7226627,Madhu Tyres,"Madhu Tyres, Varkala - Kallambalam Road, Thiruvananthapuram, Varkala - 695312, Kerala, India",,Tamil Nadu,IN,towshop,,
3369498734,node,12.9224937,77.6696672,Super Tyre Center,"Super Tyre Center, Outer Ring Road, Bellanduru, Bengaluru - 530103, Karnataka, India",94491 11129,Tamil Nadu,IN,towshop,,
3369940348,node,12.9810232,77.637136,Bridgestone,"Bridgestone, 218, Indiranagar Double Road, Hoysala Nagara Central, Bengaluru - 560038, Karnataka, India",,Tamil Nadu,IN,towshop,,
3556033536,node,12.9821981,77.6380258,Ashoka Tyre Centre,"Ashoka Tyre Centre, 34, 11th Cross Road, Indiranagar, Bengaluru - 560038, Karnataka, India",Closed,Tamil Nadu,IN,towshop,,
3556307821,node,12.9781052,77.635083,Venkateshwara Tyre Center,"Venkateshwara Tyre Center, Chinmaya Mission Hospital Road, Hoysala Nagara Central, Bengaluru - 560038, Karnataka, India",,Tamil Nadu,IN,towshop,,
3592694281,node,12.882975,77.5833574,N V R Tyres,"N V R Tyres, Kothnur Main Road, Kothnur, Bengaluru - 560083, Karnataka, India",,Tamil Nadu,IN,towshop,,
