id,latitude,longitude,name,full_address,city,state,phone_number,timings,services_offered,,,,,
1.99E+09,10.76884,76.64994,Wheels,"Wheels Alignment & Tyre Care, College Road, Palakkad, Kerala 678001",Palakkad,Kerala,+91 49125 44102,09:00 AM - 08:30 PM,"Wheel alignment, Wheel balancing, Tyre sales",,,,,
2.30E+09,9.709168,76.67456,Pala Tyres,"Pala Tyres & Vulcanizing Works, Main Road, Pala, Kerala 686575",Pala,Kerala,+91 48222 11540,08:30 AM - 08:00 PM,"Puncture repair, Tubeless patch, Tyre replacement",,,,,
2.48E+09,13.03014,77.57122,Select Brid,"Bridgestone Select - Sri Balaji Tyres, New BEL Road, Bengaluru, Karnataka 560054",Bengaluru,Karnataka,+91 80236 00114,09:30 AM - 08:30 PM,"Premium tyre sales, Wheel alignment, Balancing",,,,,
2.69E+09,12.89406,77.5818,Indian Tyre,"Indian Tyre Care & Realignment Plaza, JP Nagar 2nd Phase, Bengaluru, Karnataka 560078",Bengaluru,Karnataka,+91 80265 88105,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
2.69E+09,12.89334,77.58648,Iyengars Ty,"Iyengars Tyre & Puncture Corner, Bannerghatta Road, Bengaluru, Karnataka 560076",Bengaluru,Karnataka,+91 98450 11247,08:00 AM - 09:30 PM,"Puncture repair, Tubeless patch, Air service",,,,,
3.02E+09,12.89019,77.59808,Mahalaksh,"Mahalakshmi Tyre Lounge, BG Road, Bilekahalli, Bengaluru, Karnataka 560076",Bengaluru,Karnataka,+91 80412 33102,09:00 AM - 08:30 PM,"Tyre sales, Alignment, Wheel balancing",,,,,
3.27E+09,8.733557,76.72266,Madhu Tyre,"Madhu Tyres & Wheel Alignment, Main Road, Attingal, Kerala 695101",Attingal,Kerala,+91 47026 22119,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
3.37E+09,12.92249,77.66967,Super Tyre,"Super Tyre Care Clinic, Sarjapur Main Road, Bengaluru, Karnataka 560035",Bengaluru,Karnataka,+91 80257 30114,08:30 AM - 08:30 PM,"Tyre replacement, Balancing, Puncture repair",,,,,
3.37E+09,12.98102,77.63714,Bridgeston,"Bridgestone Select - Millenium Tyres, Indiranagar, Bengaluru, Karnataka 560038",Bengaluru,Karnataka,+91 80252 11456,09:30 AM - 08:00 PM,"Premium tyre sales, Wheel alignment",,,,,
3.56E+09,12.9822,77.63803,Ashoka Tyr,"Ashoka Tyre House & Vulcanizing, Old Madras Road, Bengaluru, Karnataka 560008",Bengaluru,Karnataka,+91 80253 01102,08:30 AM - 09:00 PM,"Puncture repair, Vulcanizing, Tyre repair",,,,,
3.56E+09,12.97811,77.63508,Venkatesh,"Sri Venkateshwara Tyre & Alignment Center, Halasuru, Bengaluru, Karnataka 560008",Bengaluru,Karnataka,+91 80255 44112,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
3.59E+09,12.88298,77.58336,N V R Tyres,"N V R Tyres & Realignment Plaza, Konanakunte, Bengaluru, Karnataka 560062",Bengaluru,Karnataka,+91 80263 22114,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
3.73E+09,10.80326,78.73882,MRF Tyres,"MRF T&S - Exclusive Showroom, Tanjore Road, Tiruchirappalli, Tamil Nadu 620008",Tiruchirappalli,Tamil Nadu,+91 43124 11551,09:00 AM - 08:00 PM,"Tyre sales, Alignment, Wheel balancing",,,,,
3.73E+09,10.79589,78.75825,Muthu Selv,"Muthu Selvam Tyres & Puncture Shop, Thuvakudi, Tiruchirappalli, Tamil Nadu 620015",Tiruchirappalli,Tamil Nadu,+91 94431 55610,08:00 AM - 09:00 PM,"Puncture repair, Tubeless patch, Air service",,,,,
